title,score
"Show HN: Curlo – Search sound libraries with natural language, on-device AI",1
Gaussian Point Splatting,1
A Guide to using the useEffect hook in React,1
Summer of '85: DOSBOS is rejected by ANALOG Computing,1
Show HN: MCP for the ChatGPT Ads API – Query ChatGPT Ads from Claude and Codex,1
"The World, the Flesh and the Devil (1929)",1
Carl: The torrent client I always wanted but couldn't find,1
"Stop scanning QR codes, you dolts",1
Napkin Math,1
Warp thematic visual system – structured regional SVG theme atlas,1
